Model Name,Noise Thresh,Perfect Fitting Traces (%),Average Trace Fitness,Precision,Generalization,Node Size,Arc Size,Cyclicity
ind_all_variants_noise_0.00,0.0,100.0,1.0,0.2926135820916598,0.9756702764431168,87,114,0.7126436781609196
ind_all_variants_noise_0.10,0.1,92.19,0.9975748710447302,0.39192273747320205,0.9902416062898549,69,88,0.6231884057971014
ind_all_variants_noise_0.20,0.2,73.59,0.9902587994947818,0.33668989027043583,0.9802636838320365,79,102,0.810126582278481
ind_all_variants_noise_0.30,0.3,60.16,0.9857477315301141,0.3376764065049547,0.9806081783305695,79,102,0.810126582278481
ind_all_variants_noise_0.40,0.4,30.23,0.9489313248028988,0.3569180198813767,0.953344584722139,65,86,0.9076923076923077
ind_all_variants_noise_0.60,0.6,2.48,0.8862065976045623,0.5744586053048883,0.8353141741261935,52,64,0.46153846153846156
ind_all_variants_noise_0.50,0.5,2.48,0.8862065976045623,0.5743748519266245,0.8353141741261935,52,64,0.46153846153846156
ind_all_variants_noise_0.70,0.7,4.72,0.8742684421746646,0.5560023810045212,0.8352107927350921,52,64,0.46153846153846156
ind_all_variants_noise_0.80,0.8,4.72,0.8742684421746646,0.5560023810045212,0.8352107927350921,52,64,0.46153846153846156
ind_all_variants_noise_0.90,0.9,0.91,0.862846153918519,0.7111416088538585,0.8500645125684039,52,64,0.5384615384615384
ind_all_variants_noise_0.99,0.99,0.91,0.862846153918519,0.7111416088538585,0.8500645125684039,52,64,0.5384615384615384
