Model Name,Noise Thresh,Perfect Fitting Traces (%),Average Trace Fitness,Precision,Generalization,Node Size,Arc Size,Cyclicity
ind_top100_noise_0.00,0.0,81.62,0.9874756653243484,0.5951685521879374,0.9912109884248378,89,108,0.449438202247191
ind_top100_noise_0.10,0.1,68.68,0.9756779906851416,0.7268736609541475,0.9434461303638916,72,86,0.3194444444444444
ind_top100_noise_0.20,0.2,68.68,0.9756779906851416,0.7268736609541475,0.9434461303638916,72,86,0.3194444444444444
ind_top100_noise_0.30,0.3,52.92,0.9611375213915038,0.7078842770013987,0.9463292845430314,78,94,0.3076923076923077
ind_top100_noise_0.40,0.4,18.75,0.9328623653222322,0.8014829343242842,0.924110792266092,52,60,0.36538461538461536
ind_top100_noise_0.50,0.5,14.56,0.906322274644088,0.8241029178911923,0.9317910174244897,59,68,0.3220338983050847
ind_top100_noise_0.60,0.6,8.51,0.8697347118584597,0.8485982991753187,0.9258397482314278,55,62,0.32727272727272727
ind_top100_noise_0.70,0.7,8.51,0.8697347118584597,0.8485982991753187,0.9258397482314278,55,62,0.32727272727272727
ind_top100_noise_0.80,0.8,8.51,0.8697347118584597,0.8485982991753187,0.9258397482314278,55,62,0.32727272727272727
ind_top100_noise_0.90,0.9,1.44,0.8477356674630413,0.9205011333600648,0.9210523058071951,52,58,0.3076923076923077
ind_top100_noise_0.99,0.99,1.44,0.8181781100245693,0.9220577791201705,0.9205535494102508,56,64,0.39285714285714285
