Model Name,Dep Thresh,AND Thresh,Loop Thresh,Filtered Perfect Fit (%),Filtered Avg Fitness,Filtered Precision,Filtered Generalization,Complete Perfect Fit (%),Complete Avg Fitness,Complete Precision,Complete Generalization,Node Size,Arc Size,Cyclicity
heu_top100_dep_0.65_and_0.40_loop_0.65,0.65,0.4,0.65,0.0,0.858291335985113,0.9998871076992549,0.9891078951550146,0.0,0.8508073344705259,0.999894279461671,0.9902732162485637,62,81,0.5645161290322581
heu_top100_dep_0.65_and_0.40_loop_0.90,0.65,0.4,0.9,0.0,0.858291335985113,0.9998871076992549,0.9891078951550146,0.0,0.8508073344705259,0.999894279461671,0.9902732162485637,62,81,0.5645161290322581
heu_top100_dep_0.65_and_0.40_loop_0.99,0.65,0.4,0.99,0.0,0.858291335985113,0.9998871076992549,0.9891078951550146,0.0,0.8508073344705259,0.999894279461671,0.9902732162485637,62,81,0.5645161290322581
heu_top100_dep_0.30_and_0.40_loop_0.30,0.3,0.4,0.3,0.0,0.8531186923163459,0.9998871076992549,0.9892926066249434,0.0,0.846407114848554,0.999894279461671,0.9904641262561908,62,80,0.5483870967741935
heu_top100_dep_0.30_and_0.40_loop_0.65,0.3,0.4,0.65,0.0,0.8531186923163459,0.9998871076992549,0.9892926066249434,0.0,0.846407114848554,0.999894279461671,0.9904641262561908,62,80,0.5483870967741935
heu_top100_dep_0.30_and_0.40_loop_0.90,0.3,0.4,0.9,0.0,0.8531186923163459,0.9998871076992549,0.9892926066249434,0.0,0.846407114848554,0.999894279461671,0.9904641262561908,62,80,0.5483870967741935
heu_top100_dep_0.30_and_0.40_loop_0.99,0.3,0.4,0.99,0.0,0.8531186923163459,0.9998871076992549,0.9892926066249434,0.0,0.846407114848554,0.999894279461671,0.9904641262561908,62,80,0.5483870967741935
heu_top100_dep_0.90_and_0.65_loop_0.65,0.9,0.65,0.65,0.0,0.845825164060996,0.9993846855059253,0.9354658662894321,0.0,0.8388210122885295,0.9993756444578986,0.9365629099359956,64,85,0.59375
heu_top100_dep_0.90_and_0.65_loop_0.99,0.9,0.65,0.99,0.0,0.845825164060996,0.9993846855059253,0.9354658662894321,0.0,0.8388210122885295,0.9993756444578986,0.9365629099359956,64,85,0.59375
heu_top100_dep_0.99_and_0.65_loop_0.30,0.99,0.65,0.3,0.0,0.8456159569247907,0.9997399680869925,0.934352747453541,0.0,0.8385372155426614,0.9996560872555763,0.9354323012299419,63,83,0.5873015873015873
heu_top100_dep_0.99_and_0.65_loop_0.99,0.99,0.65,0.99,0.0,0.8456159569247907,0.9997399680869925,0.934352747453541,0.0,0.8385372155426614,0.9996560872555763,0.9354323012299419,63,83,0.5873015873015873
heu_top100_dep_0.90_and_0.65_loop_0.30,0.9,0.65,0.3,0.0,0.8450020994445886,0.9993846855059253,0.9620265660463653,0.0,0.8380999319799354,0.9993756444578986,0.9631472639725565,64,85,0.59375
