Algorithm,Variant Filter,Model Name,Dep Thresh,AND Thresh,Loop Thresh,Perfect Fitting Traces (%),Average Trace Fitness,Precision,Generalization,Node Size,Arc Size,Cyclicity,Noise Thresh,F-Score,Low Precision,Low Fitness,Cyc Factor,Total Size,Size Norm,Size Factor,DM Score
inductive,top100,ind_top100_noise_0.90,,,,1.44,0.8477356674630413,0.9205011333600648,0.9210523058071952,52,58,0.3076923076923077,0.9,0.8826211990681735,False,False,0.9230769230769231,110,0.10138248847926268,0.9847926267281106,0.802337399110395
inductive,top610,ind_top610_noise_0.99,,,,0.16,0.8484996705310818,0.9059563995543508,0.8817215441581654,42,46,0.4285714285714285,0.99,0.876287209060709,False,False,0.8928571428571429,88,0.0,1.0,0.7823992938042045
inductive,top610,ind_top610_noise_0.90,,,,0.16,0.8484996705310818,0.9059563995543508,0.8817215441581654,42,46,0.4285714285714285,0.9,0.876287209060709,False,False,0.8928571428571429,88,0.0,1.0,0.7823992938042045
inductive,top100,ind_top100_noise_0.80,,,,8.51,0.8697347118584597,0.8485982991753187,0.9258397482314278,55,62,0.3272727272727272,0.8,0.8590365109412617,False,False,0.9181818181818182,117,0.1336405529953917,0.9799539170506912,0.7729403233857389
inductive,top100,ind_top100_noise_0.70,,,,8.51,0.8697347118584597,0.8485982991753187,0.9258397482314278,55,62,0.3272727272727272,0.7,0.8590365109412617,False,False,0.9181818181818182,117,0.1336405529953917,0.9799539170506912,0.7729403233857389
inductive,top100,ind_top100_noise_0.60,,,,8.51,0.8697347118584597,0.8485982991753187,0.9258397482314278,55,62,0.3272727272727272,0.6,0.8590365109412617,False,False,0.9181818181818182,117,0.1336405529953917,0.9799539170506912,0.7729403233857389
inductive,top100,ind_top100_noise_0.50,,,,14.56,0.906322274644088,0.8241029178911923,0.9317910174244896,59,68,0.3220338983050847,0.5,0.8632593125735454,False,False,0.9194915254237288,127,0.17972350230414746,0.9730414746543778,0.7723610332623054
inductive,top100,ind_top100_noise_0.40,,,,18.75,0.9328623653222322,0.8014829343242842,0.924110792266092,52,60,0.3653846153846153,0.4,0.8621965487859209,False,False,0.9086538461538461,112,0.11059907834101383,0.9834101382488479,0.7704410785971958
inductive,top100,ind_top100_noise_0.99,,,,1.44,0.8181781100245693,0.9220577791201704,0.9205535494102508,56,64,0.3928571428571428,0.99,0.8670175069481594,False,False,0.9017857142857143,120,0.14746543778801843,0.9778801843317972,0.7645693142040134
heuristic,top100,heu_top100_dep_0.65_and_0.90_loop_0.30,0.65,0.9,0.3,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045,,0.9511751467033033,False,False,0.8283582089552239,152,0.29493087557603687,0.9557603686635945,0.753056727502422
heuristic,top100,heu_top100_dep_0.30_and_0.90_loop_0.30,0.3,0.9,0.3,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045,,0.9511751467033033,False,False,0.8283582089552239,152,0.29493087557603687,0.9557603686635945,0.753056727502422
heuristic,top100,heu_top100_dep_0.30_and_0.90_loop_0.65,0.3,0.9,0.65,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045,,0.9511751467033033,False,False,0.8283582089552239,152,0.29493087557603687,0.9557603686635945,0.753056727502422
heuristic,top100,heu_top100_dep_0.30_and_0.90_loop_0.90,0.3,0.9,0.9,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045,,0.9511751467033033,False,False,0.8283582089552239,152,0.29493087557603687,0.9557603686635945,0.753056727502422
heuristic,top100,heu_top100_dep_0.30_and_0.90_loop_0.95,0.3,0.9,0.95,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045,,0.9511751467033033,False,False,0.8283582089552239,152,0.29493087557603687,0.9557603686635945,0.753056727502422
heuristic,top100,heu_top100_dep_0.30_and_0.90_loop_0.99,0.3,0.9,0.99,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045,,0.9511751467033033,False,False,0.8283582089552239,152,0.29493087557603687,0.9557603686635945,0.753056727502422
heuristic,top100,heu_top100_dep_0.65_and_0.90_loop_0.90,0.65,0.9,0.9,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045,,0.9511751467033033,False,False,0.8283582089552239,152,0.29493087557603687,0.9557603686635945,0.753056727502422
heuristic,top100,heu_top100_dep_0.65_and_0.90_loop_0.65,0.65,0.9,0.65,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045,,0.9511751467033033,False,False,0.8283582089552239,152,0.29493087557603687,0.9557603686635945,0.753056727502422
heuristic,top100,heu_top100_dep_0.65_and_0.90_loop_0.95,0.65,0.9,0.95,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045,,0.9511751467033033,False,False,0.8283582089552239,152,0.29493087557603687,0.9557603686635945,0.753056727502422
heuristic,top100,heu_top100_dep_0.65_and_0.90_loop_0.99,0.65,0.9,0.99,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045,,0.9511751467033033,False,False,0.8283582089552239,152,0.29493087557603687,0.9557603686635945,0.753056727502422
heuristic,top100,heu_top100_dep_0.95_and_0.90_loop_0.30,0.95,0.9,0.3,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
heuristic,top100,heu_top100_dep_0.90_and_0.90_loop_0.95,0.9,0.9,0.95,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
heuristic,top100,heu_top100_dep_0.90_and_0.90_loop_0.90,0.9,0.9,0.9,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
heuristic,top100,heu_top100_dep_0.90_and_0.90_loop_0.65,0.9,0.9,0.65,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
